Park	Transect	Day	Month	Year	ActualDate	BiMonth	TimeStart	TimeEnd	Thomsons	Impala	Zebra	Gnu	Topi	Warthog	Hartebeast	Grants	Buffalo	Hippo	Giraffe	Ostrich	Eland	Elephant	Oribi	Reedbuck	Waterbuck	Baboons	Bushbuck	Other	Comments	TotalPrey	AvgPrey	Distance
N	WLOW	15	1	2008	15-Jan-08	1	814	823	25	0	0	0	5	1	0	16	0	 	0	0	0	0	 		0	0	 	17	 	64	189.971581	4
N	WLOW	28	1	2008	28-Jan-08	2	859	908	148	1	0	0	8	0	0	6	0	 	0	0	0	0	 		0	0	 	6	 	169	189.971581	4
N	WLOW	29	2	2008	29-Feb-08	2	813	826	483	3	10	0	12	0	5	2	0	 	0	0	0	0	 		0	0	 	2	 	517	189.971581	4
N	WLOW	13	4	2008	13-Apr-08	1	809	822	221	1	0	0	18	0	24	0	0	 	0	0	0	0	 		0	0	 	0	 	264	189.971581	4
N	WLOW	24	4	2008	24-Apr-08	2	833	849	71	40	0	0	75	0	14	4	0	 	0	0	0	0	 		0	0	 	4	 	208	189.971581	4
N	WLOW	7	5	2008	07-May-08	1	807	824	391	12	0	0	71	0	7	21	0	 	0	0	0	0	 		0	0	 	21	 	523	189.971581	4
N	WLOW	20	5	2008	20-May-08	2	 		207	2	24	0	9	0	15	11	0	 	0	0	0	0	 		0	0	 	11	 	279	189.971581	4
N	WLOW	7	6	2008	07-Jun-08	1	702	724	368	1	35	0	4	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	408	189.971581	4
N	WLOW	25	6	2008	25-Jun-08	2	828	854	208	0	172	4	100	0	0	1	0	 	9	0	0	0	 		0	0	 	10	 	504	189.971581	4
N	WLOW	14	7	2008	14-Jul-08	1	836	855	78	1	0	0	0	0	0	4	0	 	0	0	0	0	 		0	0	 	4	 	87	189.971581	4
N	WLOW	1	8	2008	01-Aug-08	1	831	844	4	0	75	0	7	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	86	189.971581	4
N	WLOW	17	8	2008	17-Aug-08	2	834	835	33	0	0	144	0	0	0	1	0	 	0	0	0	0	 		0	0	 	1	 	179	189.971581	4
N	WLOW	1	9	2008	01-Sep-08	1	806	817	30	0	0	42	1	0	0	5	0	 	0	0	0	0	 		0	 		5	 	83	189.971581	4
N	WLOW	22	9	2008	22-Sep-08	2	822	834	136	0	0	23	2	0	0	9	0	 	0	0	0	0	 		0	0	 	9	 	179	189.971581	4
N	WLOW	7	10	2008	07-Oct-08	1	827	842	66	0	2	36	14	0	0	10	0	 	0	0	0	0	 		0	 		10	 	138	189.971581	4
N	WLOW	19	10	2008	19-Oct-08	2	824	836	190	0	27	0	19	0	0	6	0	 	0	4	0	0	 		0	 		10	 	256	189.971581	4
N	WLOW	3	11	2008	03-Nov-08	1	824	836	108	0	0	47	4	0	0	4	0	 	0	0	0	0	 		0	 		4	 	167	189.971581	4
N	WLOW	2	12	2008	02-Dec-08	1	740	755	118	0	0	0	21	0	0	5	0	 	0	0	0	0	 		0	 		5	 	149	189.971581	4
N	WLOW	9	1	2009	09-Jan-09	1	802	816	154	9	11	0	5	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	179	189.971581	4
N	WLOW	6	2	2009	06-Feb-09	1	843	902	54	1	0	0	2	0	0	0	5	 	0	0	0	0	 		0	0	 	5	 	67	189.971581	4
N	WLOW	20	2	2009	20-Feb-09	2	830	845	26	0	1	0	10	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	37	189.971581	4
N	WLOW	27	6	2009	27-Jun-09	2	831	851	240	2	6	25	31	0	0	0	0	 	0	1	0	0	 		0	0	 	1	 	306	189.971581	4
N	WLOW	9	7	2009	09-Jul-09	1	844	858	180	0	5	363	0	0	0	0	0	 	8	0	0	0	 		0	0	 	8	 	564	189.971581	4
N	WLOW	28	7	2009	28-Jul-09	2	803	819	117	0	3	10	2	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	132	189.971581	4
N	WLOW	1	8	2009	01-Aug-09	1	831	844	4	0	75	0	7	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	86	189.971581	4
N	WLOW	17	8	2009	17-Aug-09	2	834	835	33	0	0	144	0	0	0	1	0	 	0	0	0	0	 		0	0	 	1	 	179	189.971581	4
N	WLOW	3	9	2009	03-Sep-09	1	841	852	9	0	22	0	1	0	0	0	0	 	0	2	0	0	 		0	0	 	2	 	36	189.971581	4
N	WLOW	28	9	2009	28-Sep-09	2	755	805	17	0	0	0	0	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	17	189.971581	4
N	WLOW	19	10	2009	19-Oct-09	2	846	857	21	0	0	0	0	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	21	189.971581	4
N	WLOW	7	11	2009	07-Nov-09	1	831	840	11	0	0	0	0	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	11	189.971581	4
N	WLOW	28	11	2009	28-Nov-09	2	830	844	311	0	43	4	4	0	0	11	0	 	0	0	4	0	 		0	0	 	15	 	392	189.971581	4
N	WLOW	11	12	2009	11-Dec-09	1	805	831	62	0	0	0	12	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	74	189.971581	4
N	WLOW	27	12	2009	27-Dec-09	2	831	846	33	0	9	0	2	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	44	189.971581	4
N	WLOW	13	1	2010	13-Jan-10	1	831	851	142	0	0	0	22	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	164	189.971581	4
N	WLOW	24	1	2010	24-Jan-10	2	827	839	288	72	0	0	27	0	1	13	0	 	0	0	0	0	 		0	0	 	13	 	414	189.971581	4
N	WLOW	13	2	2010	13-Feb-10	1	842	853	105	1	0	1	56	0	23	17	0	 	0	2	0	0	 		0	0	 	19	 	224	189.971581	4
N	WLOW	25	2	2010	25-Feb-10	2	839	853	115	2	0	0	11	0	0	4	0	 	0	0	0	0	 		0	0	 	4	 	136	189.971581	4
N	WLOW	12	3	2010	12-Mar-10	1	852	900	276	0	66	0	14	0	2	9	0	 	0	0	0	0	 		0	0	 	9	 	376	189.971581	4
N	WLOW	26	3	2010	26-Mar-10	2	846	902	388	1	0	0	43	0	0	5	0	 	0	0	0	0	 		0	0	 	5	 	442	189.971581	4
N	WLOW	11	4	2010	11-Apr-10	1	833	849	358	80	0	0	66	0	9	7	0	 	0	0	0	0	 		0	0	 	7	 	527	189.971581	4
N	WLOW	26	4	2010	26-Apr-10	2	841	858	674	42	0	0	90	0	5	6	0	 	0	13	0	0	 		0	0	 	19	 	849	189.971581	4
N	WLOW	15	5	2010	15-May-10	1	815	834	1107	1	0	0	17	0	7	25	0	 	0	0	0	0	 		0	0	 	25	 	1182	189.971581	4
N	WLOW	27	5	2010	27-May-10	2	833	856	0	0	0	0	0	0	0	0	0	 	0	0	0	0	 		0	0	 	0	 	0	189.971581	4
N	WLOW	11	6	2010	11-Jun-10	1	739	758	539	10	24	0	30	0	5	13	0	 	0	0	0	0	 		0	0	 	13	 	634	189.971581	4
N	WLOW	24	6	2010	24-Jun-10	2	834	854	97	3	99	243	224	0	17	2	0	 	0	0	0	0	 		0	0	 	2	 	687	189.971581	4
N	WLOW	30	7	2010	30-Jul-10	2	826	842	194	0	0	6	5	0	0	5	0	 	3	1	0	0	 		0	0	 	9	 	223	189.971581	4
N	WLOW	12	8	2010	12-Aug-10	1	837	850	74	0	5	1024	0	0	0	0	0	 	0	2	0	0	 		0	0	 	2	 	1107	189.971581	4
N	WLOW	28	8	2010	28-Aug-10	2	835	853	176	3	0	5	2	0	0	4	0	 	0	5	0	0	 		0	0	 	9	 	204	189.971581	4
N	WLOW	11	9	2010	11-Sep-10	1	842	856	63	0	2	0	2	0	0	21	0	0	0	0	0	0	0	0	0	0	0	21	 	109	189.971581	4
N	WLOW	24	9	2010	24-Sep-10	2	833	850	123	2	0	0	2	0	0	9	0	0	0	3	0	0	0	0	0	0	0	12	 	151	189.971581	4
N	WLOW	14	10	2010	14-Oct-10	1	819	836	69	1	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	380	189.971581	4
